paper_no,first_author_surname,authors,year,title,journal,volume,issue,pages,doi_stableurl,abstract,used,excld_1,excld_2,excld_3,excld_4,excld_5,excld_6,excld_7,excld_8,comments
1010,Andrews,R. M. Andrews and B. R. Rose,1994,Evolution Of Viviparity-Constraints On Egg Retention,Physiological Zoology,67,4,1006-1024,https://www.jstor.org/stable/30163876,"Extended egg retention is an important component of the cold climate model for the evolution of viviparity in squamate reptiles The presumptive selective benefits of extended egg retention are that (1) eggs retained in utero are subject to a warmer thermal environment than those laid in nests, and (2) embryonic development in utero is faster than embryonic development in nests as a result of these temperature differences. We tested these assumptions with observations on the montane lizard Sceloporus virgatus. We measured the diel temperature cycles of gravid females and of nest sites in the field and contrasted the embryonic development of eggs laid at the normal time and eggs retained for an additional 13 d, 20 d, and 30 d in laboratory experiments. The mean temperatures of gravid females and of nest sites were very similar at 25.4 degrees and 25.2 degrees C, respectively Thus, egg retention did not alter the thermal environment of developing embryos of S. virgatus. Moreover, embryonic development was retarded by egg retention; embryos from retained eggs were smaller and less differentiated than control eggs. Egg retention also lengthened the incubation period from 57 d for eggs laid at the normal time to 65 d, 66 d, and 71 d for eggs retained 13 d, 20 d, and 30 d, respectively. Thug egg retention reduces the time available for hatchlings to grow prior to winter and delays sexual maturation.",N,N,N,N,N,N,N,N,Y,Judged unusable because time between egg collection and treatment was very long
1011,Andrews,R. M. Andrews,2007,"Effects Of Temperature On Embryonic Development Of The Veiled Chameleon, Chamaeleo calyptratus",Comparative Biochemistry and Physiology A - Molecular and Integrative Physiology,148,3,698-706,https://doi.org/10.1016/j.cbpa.2007.08.026,"Temperature dependence of development of the chameleon, Chamaeleo calyptratus, was assessed from observations on eggs incubated at 25, 28 and 30 degrees C. Overall, differentiation, growth in mass, and growth of the yolk sac and chorioallantois were the slowest at 25 degrees C but did not differ between 28 and 30 degrees C. The relative area of the yolk sac (YS), chorioallantoic membrane (CAM), and their precursor, the area opaca vasculosa (AV) was used to characterize developmental phases. During Phase 1, only the AV was present; development was characterized by differentiation with little increase in the size of the embryo. During Phase 2, the vascularized YS and CAM grew from about 10 to 100% coverage of the surface of the shell during a period of about two weeks. Differentiation and growth of the embryo were accordingly rapid. During Phase 3, the YS and CAM were fixed in size and the remainder of development was relatively slow. Characterization of embryonic development with respect to the relative area of the AV-YS-CAM highlighted the functional linkage between development and the systems that provide nutrients to embryos. (c) 2007 Elsevier Inc. All rights reserved.",N,N,N,N,N,N,N,N,Y,Data only from pre-hatching stages
1012,Andrews,"R. M. Andrews, C. Diaz-Paniagua, A. Marco and A. Portheault",2008,Developmental Arrest During Embryonic Development Of The Common Chameleon (Chamaeleo chamaeleon) In Spain,Physiological and Biochemical Zoology,81,3,336-344,https://doi.org/10.1086/529449,"Embryonic development of the common chameleon, Chamaeleo chamaeleon, was monitored from oviposition to hatching at a field site in southwestern Spain and in the laboratory under five experimental temperature regimes. Embryos were diapausing gastrulae at the time of oviposition; developmental arrest in the field continued as cold torpor during winter. Post-arrest development in the field commenced in April, and hatching occurred in August, for a total incubation period of 10.5 mo. In the laboratory, one group of eggs was incubated at a constant warm (26 degrees C) temperature. The remaining treatments simulated field conditions and consisted of initial periods of warm temperature of 0, 27, 46, and 71 d, a subsequent 4-mo period of cold winter (16 degrees C) temperature, and a final period of warm (26 degrees C) temperature. Embryos in the constant warm temperature treatment were in diapause an average of 3 mo, with clutch means ranging from 2 to 4 mo. Hatching among clutches occurred over 2 mo. In contrast, for field and experimental eggs that experienced cold winter conditions, hatching within treatments occurred over 2-14 d; ""winter"" conditions synchronized development. The length of time between the end of cold conditions and hatching did not differ among treatments; development thus resumed as soon as temperature was suitable regardless of the initial period of warm temperature. Diapause in nature thus insures that embryos remain gastrulae after oviposition despite nest temperatures that may be warm enough to support development.",N,N,N,Y,N,N,N,N,N,NA
1013,Andrews,R. M. Andrews and L. Schwarzkopf,2012,"Thermal Performance Of Squamate Embryos With Respect To Climate, Adult Life History, And Phylogeny",Biological Journal of the Linnean Society,106,4,851-864,https://doi.org/10.1111/j.1095-8312.2012.01901.x,"Reptiles are important model systems for examining the effect of temperature during development on the phenotype of individuals after hatching or birth. To assess whether squamate embryos exhibit adaptive variation in thermal biology, we derived three parameters: an index of developmental rate (DRI), the upper thermal limit for successful incubation, and the lower thermal limit for development for 28 species of lizard and 12 species of snake. The associations between developmental parameters and climatic and life-history variables were examined using both conventional statistics and phylogenetically controlled analyses. Residual DRI (i.e. DRI corrected for stage at oviposition and hatchling mass) was strongly associated with phylogenetic relationship. By contrast, the upper limit for development was negatively related to the amount of precipitation during the warmest quarter of the year, and the lower thermal limit for development was positively related to temperature during the warmest quarter of the year and the activity body temperatures of adults. These latter observations indicate that embryonic thermal physiology is adapted to large-scale environmental patterns, and that global climate change will impact embryonic development directly through impacts on nest temperature per se, as well as indirectly through impacts on the ability of gravid females to select suitable nest sites. (c) 2012 The Linnean Society of London, Biological Journal of the Linnean Society, 2012, , .",N,N,N,N,Y,N,N,N,N,NA
1014,Angilletta,"M. J. Angilletta, C. E. Oufiero and M. W. Sears",2004,Thermal Adaption Of Maternal And Embryonic Phenotypes In A Geographically Widespread Ectotherm,Animals and Environments,1275,NA,258-266,https://doi.org/10.1016/j.ics.2004.07.038,"Current theories predict the thermal adaptation of both maternal and embryonic phenotypes such that the fitness of the entire life cycle is maximized. Our studies of the eastern fence lizard (Sceloporus undulatus) have generated evidence that maternal and embryonic phenotypes are designed to promote growth and development in cold environments. Females in colder environments allocate more energy per egg enabling offspring to grow faster and reach a larger size at hatching. Females in cold environments also nest exclusively in warm, open sites that maximize rates of embryonic growth and development, although this behavior involves risky migrations. Likewise, thermal adaptation of embryonic physiology also promotes growth and development in cold environments. When incubated in the laboratory under shared environmental conditions, embryos from colder environments developed faster and grew more efficiently than embryos from warmer environments, which is a pattern called counter-gradient variation. Because thermal adaptation can produce geographic variation in a suite of maternal and embryonic phenotypes, biologists should develop theories of coadaptation that consider costs and benefits of behavioral and physiological strategies at both stages of the life cycle.",N,N,N,N,Y,N,N,N,N,NA
1015,Angilletta,"M. J. Angilletta, R. S. Winters and A. E. Dunham",2000,Thermal Effects On The Energetics Of Lizard Embryos: Implications For Hatchling Phenotypes,Ecology,81,11,2957-2968,http://www.jstor.org/stable/177393,"In many ectotherms, incubation temperature has profound effects on the timing of hatching and size of hatchlings, but the mechanisms underlying these effects are poorly understood. We studied the energetics of embryonic development and growth in the lizard Sceloporus undulatus. Eggs were incubated at six constant temperatures, ranging from 28 degrees to 38 degreesC, and embryonic metabolism, incubation period,and body size at hatching were determined. The duration of embryonic development decreased significantly from 55 d at 28 degrees to 40 d at 32 degreesC but did not differ significantly between 32 degrees and 34 degreesC. Embryos incubated at temperatures above 34 degreesC did not survive to hatching. Metabolic rate at specific stages of development (percentage of total incubation period) did not differ among embryos incubated at 28 degrees, 30 degrees, and 34 degreesC. As a result, the total amount of energy expended during the incubation period at 28 degreesC (2.0 kJ) was greater than that at 30 degrees -34 degreesC (1.7-1.8 kJ). However, the difference in energy expenditure did not affect body size at hatching; neither snout-vent length nor body mass varied significantly with incubation temperature, and both were the same as those of hatchlings collected in the field. Thus, there was no apparent , trade-off between hatching date and body size of lizards at hatching. In a natural population in New Jersey, USA, we quantified soil temperatures at potential nesting sites and studied the thermoregulatory, behavior of gravid females to examine the possible consequences of female behaviour for hatching phenotypes. In females and at potential nest sites, embryos would experience temperatures that resulted in high mortality in the laboratory experiment (>32 degreesC). Gravid females had a field body temperature of 33.9 degreesC (95% CI = 0.8 degreesC) and selected a body temperature of 33.3 degreesC (95% CI = 1.9 degreesC) when placed in thermal gradients in the laboratory. Soil temperatures rose above 32 degreesC for several hours each day. Embryos must be able to survive intermittent exposure to temperatures that were lethal under conditions of chronic exposure in the laboratory. Selection of relatively high body temperatures by gravid females, coupled with tolerance of acute exposure to relatively high soil temperatures, would reduce the incubation period without a concomitant reduction in body size at hatching.",Y,N,N,N,N,N,N,N,N,NA
1016,Angilletta,"M. J. Angilletta, Jr. V. Lee and A. C. Silva",2006,Energetics Of Lizard Embryos Are Not Canalized By Thermal Acclimation,Physiological and Biochemical Zoology,79,3,573-580,http://www.jstor.org/stable/10.1086/501062 .,"In some species of ectotherms, temperature has little or no effect on the amount of energy expended during embryonic development. This phenomenon can result from either of two mechanisms: (1) a shorter incubation period at higher temperatures, which offsets the expected increase in metabolic rate, or (2) a compensatory decrease in the rate at which embryos expend energy for maintenance. To distinguish the relative importance of these two mechanisms, we quantified the acute and chronic effects of temperature on embryonic metabolism in the eastern fence lizard (Sceloporus undulatus). First, we measured metabolic rates of individual embryos at 27 degrees, 31 degrees, and 34 degrees C. Second, we examined the capacity for thermal acclimation by measuring the metabolic rates of embryos at 30 degrees C, after a period of incubation at either 28 degrees or 32 degrees C. As with adult reptiles, the metabolic rates of embryos increased with an acute increase in temperature; the Q(10) of metabolic rate from 27 degrees to 34 degrees C was 2.1 (+/- 0.2). No evidence of thermal acclimation was observed either early or late in development. In S. undulatus, a shorter incubation period at higher temperatures appears to play the primary role in canalizing the energy budget of an embryo, but a reduction in the cost of growth could play a secondary role.",Y,N,N,N,N,N,N,N,N,NA
1017,Arnold,S. J. Arnold and C. R. Peterson,2002,A Model For Optimal Reaction Norms: The Case Of The Pregnant Garter Snake And Her Temperature-Sensitive Embryos,American Naturalist,160,3,306-316,https://doi.org/10.1086/341522,"We present a model to test Osgood's (1978) proposition that viviparous snakes have optimal reaction norms for temperature-sensitive meristic traits, such as scale counts. Our model predicts that traits that are subject to temperature effects during development will evolve a flat or U-shaped reaction norm (average scale count as a function of developmental temperature). We tested this prediction by maintaining 67 female garter snakes (Thamnophis elegans) at eight different constant temperatures (21degrees-33degreesC) during pregnancy and making a series of scale counts on their newborn offspring (n=491). To insure that the experimental temperatures were ecologically 491 relevant, we used automated radiotelemetry to record the body temperature of pregnant, free-ranging females. The resulting temperature data allowed us to test the prediction that the inflection points of reaction norms would correspond to the average temperature experienced by embryos in the field. In line with predictions of the Osgood model, reaction norms were flat or U-shaped. In the case of U-shaped reaction norms, the inflection point of the curves corresponded to the average temperature imposed on embryos by free-ranging females. In contrast to some past studies, none of the standard scale scores (ones commonly used in systematics) showed significant temperature effects in either sex. Reaction norms were flat. In contrast, incidences of various abnormalities showed U-shaped reaction norms. Temperature effects were more pronounced in males than in females. The results have implications for systematics and for the evolution of canalization and phenotypic plasticity.",N,Y,N,N,N,N,N,N,N,NA
1018,Arnold,"S. J. Arnold, C. R. Peterson and J. Gladstone",1995,Behavioural Variation In Natural Populations. Vii. Maternal Body Temperature Does Not Affect Juvenile Thermoregulation In A Garter Snake,Animal Behaviour,1995,50,623-633,https://doi.org/10.1016/0003-3472(95)80124-3,"This study was aimed to determine whether thermoregulation by juvenile garter snakes is affected by developmental temperature imposed by their mothers during pregnancy. Maternal temperature treatments were created by maintaining six groups of females at six different constant temperatures (24-32 degrees C) during pregnancy. A seventh group of females was allowed to thermoregulate during pregnancy. The body temperatures of juveniles (N=324) on thermal gradients were monitored in the morning and afternoon for 5 consecutive days, beginning 5 days after birth. The body temperatures of juveniles were consistent, apparently heritable and remarkably stereotyped. Juvenile body temperature was virtually unaffected by maternal temperature treatment. (C) 1995 The Association for the Study of Animal Behaviour",N,Y,N,N,N,N,N,N,N,NA
1019,Arzola-Gonzalez,J. F. Arzola-Gonzalez,2007,Moisture And Temperature In Hatching Of Olive Turtle Lepidochelys olivacea (Eschssholtz 1829),Revista De Biologia Marina Y Oceanografia,42,3,377-383,https://www.researchgate.net/publication/290931807_Moisture_and_temperature_in_hatching_of_olive_turtle_Lepidochelys_olivacea_Eschssholtz_1829?ev=prf_high,"The variation in moisture,and temperature was analized in the hatching of olive ridley turtle Lepidochelys olivacea eggs, during the 1992-1993 season in ""El Verde"" beach (Sinaloa, Mexico). This variation was compared for different incubation environments (natural nests, corrals and polystyrene boxes). The results show that the average temperature was 33.6 degrees C in natural nests, 32.8 degrees C in corral and 32.1 degrees C in boxes. Moisture percentage fell between 59.6% to 23.4% as calculated by the weight method and for saturation of 22.9 mL g(-1) to 8.8 mL g(-1). Hatching percentage was 67.9% in natural nests, 64.1% in corral and 46.9% in boxes. A granulometric study of sand showed differences in sand grain for nests areas. For this season the incubation average temperature was 32.7 degrees C; for this reason, the hatchlings were females. The moisture levels registered in each incubation environment in this experiment apparently were not a determinant factor for the hatching success.",N,N,N,N,N,N,N,Y,N,NA
1020,Ashmore,G. M. Ashmore and F. J. Janzen,2003,Phenotypic Variation In Smooth Softshell Turtles (Apalone mutica) From Eggs Incubated In Constant Versus Fluctuating Temperatures,Oecologia,134,2,182-188,https://doi.org/10.1007/s00442-002-1109-z,"Temperatures experienced during embryonic development elicit well-documented phenotypic variation in embryonic and neonatal animals. Most research, however, has only considered the effects of constant temperatures, even though developmental temperatures in natural settings fluctuate considerably on a daily and seasonal basis. A laboratory study of 15 clutches of smooth softshell turtles (Apalone mutica) was conducted to explicitly examine the influence of thermal variance on phenotypic variation. Holding mean temperature constant and eliminating substrate moisture effects permitted a clear assessment of the impact of thermal variance on hatching success, incubation length, hatchling body size, swimming speed, and righting time. Incubation length and swimming speed varied significantly among temperature treatments. Both traits tended to increase with increasing thermal variance during embryonic development. Clutch significantly affected all traits examined, except righting time, even after accounting for the effects of initial egg mass. These results highlight the importance of accounting for the impact of both thermal mean and variance on phenotypic variation. The findings also strengthen the increasing recognition of maternal clutch effects as critical factors influencing phenotypic variation in neonatal animals.",Y,N,N,N,N,N,N,N,N,NA
1021,Atkins,"N. Atkins, R. Swain, E. Wapstra and S. M. Jones",2007,Late Stage Deferral Of Parturition In The Viviparous Lizard Niveoscincus ocellatus (Gray 1845): Implications For Offspring Quality And Survival,Biological Journal of the Linnean Society,90,4,735-746,https://doi.org/10.1111/j.1095-8312.2007.00770.x,"The ability of viviparous lizards to defer parturition after completion of embryonic development is a potentially key strategy for enhancing offspring fitness. Using the spotted snow skink, Niveoscincus ocellatus, we investigated the ability of females to defer birth if placed into cold conditions at the same time, for 1, 2 or 3 weeks at the end of gestation. The ability to defer birth was compared between two populations at each end of the species' altitudinal range. We hypothesized that females from the high elevation population would be less likely to defer parturition under extended periods of poor conditions, thus ensuring that young were not born too late in the season. In all but the 3-week treatment group from the high elevation population, females were able to defer birth when placed under cold conditions: for all groups, there was no treatment effect on offspring phenotype at birth, dispersal distance or survivorship after release. However, there was a significant negative effect of treatment on offspring growth measured after release, with the results differing between the populations. Females from the high elevation population were less able to defer birth under long periods (3 weeks) of cold conditions, and this was accompanied by a decrease in viability of the offspring. (c) 2007 The Linnean Society of London.",N,Y,N,N,N,N,N,N,N,NA
1022,Bardsley,"W. G. Bardsley, R. A. Ackerman, N. A. S. Bukhari, D. C. Deeming and M. W. J. Ferguson",1995,Mathematical-Models For Growth In Alligator (Alligator mississippiensis) Embryos Developing At Different Incubation Temperatures,Journal of Anatomy,187,1,181-190,https://www.ncbi.nlm.nih.gov/pmc/articles/.../pdf/janat00129-0173.pdf,"A variety of model-based (growth models) and model-free (cubic splines, exponentials) equations were fitted using weighted-nonlinear least squares regression to embryonic growth data from Alligator mississippiensis eggs incubated at 30 and 33 degrees C. Goodness of fit was estimated using a chi(2) on the sum of squared, weighted residuals, and run and sign tests on the residuals. One of the growth models used (Preece & Baines, 1978) was found to be superior to the classical growth models (exponential, monomolecular, logistic, Gompertz, von Bertalanffy) and gave an adequate fit to all longitudinal measures taken from the embryonic body and embryonic mass. However, measurements taken from the head could not be fitted by growth models but were adequately fitted by weighted least squares cubic splines. Data for the stage of development were best fitted by a sum of 2 exponentials with a transition point. Comparison of the maximum growth rates and parameter values, indicated that the growth data at 30 degrees C could be scaled to 33 degrees C to multiplying the time by a scaling factor of 1.2. This is equivalent to a Q(10) of about 1.86 or, after solving the Arrhenius equation, an E double dagger of 46.9 kJmol(-1). This may be interpreted as indicating a common rate-limiting step in development at the 2 temperatures.",N,N,Y,N,N,N,N,N,N,NA
